"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"334",10,"Dawson Knox",BUF,"TE45","7","-","-","3 out of 5 stars","-","+1.4","56% (9/16)"
"335",10,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-131","-3.1","25% (4/16)"
"336",10,"Joe Mixon",FA,"RB100","-","-","-","-","-","-","-"
"337",10,"Erick All Jr.",CIN,"TE46","6","-","-","3 out of 5 stars","-","-","-"
"338",11,"Kendrick Bourne",ARI,"WR116","14","-","-","2 out of 5 stars","-","-0.4","33% (5/15)"
"339",11,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","-","+0.8","42% (6/14)"
"340",11,"Tyler Higbee",LAR,"TE47","11","-","-","4 out of 5 stars","-","-0.4","40% (4/10)"
"341",11,"Jalen Royals",KC,"WR118","5","-","-","2 out of 5 stars","-","-1.9","0% (0/4)"
"342",11,"Cole Kmet",CHI,"TE48","10","-","-","2 out of 5 stars","-","+0.2","46% (7/15)"
"343",11,"Luke McCaffrey",WAS,"WR119","7","-","-","2 out of 5 stars","-","+0.3","55% (5/9)"
"344",11,"Brenen Thompson",LAC,"WR120","7","-","-","2 out of 5 stars","-","-","-"
"345",11,"Konata Mumpfield",LAR,"WR121","11","-","-","1 out of 5 stars","-","-0.6","20% (3/15)"
"346",11,"Noah Gray",KC,"TE49","5","-","-","4 out of 5 stars","-","-1.2","33% (5/15)"
"347",11,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-","-1.0","55% (5/9)"
"348",11,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-","-","-"
"349",11,"Joshua Palmer",BUF,"WR122","7","-","-","4 out of 5 stars","-","-1.7","18% (2/11)"
"350",11,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-69","+0.7","26% (4/15)"
"351",11,"Olamide Zaccheaus",ATL,"WR123","11","-","-","3 out of 5 stars","-","-0.6","40% (6/15)"
"352",11,"Max Klare",LAR,"TE50","11","-","-","4 out of 5 stars","-","-","-"
"353",11,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-109","-0.4","37% (6/16)"
"354",11,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-113","-","-"
"355",11,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-","-1.1","30% (4/13)"
"356",11,"Roman Wilson",PIT,"WR124","9","-","-","3 out of 5 stars","-","-","-"
"357",11,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-","-","-"
"358",11,"Treylon Burks",WAS,"WR125","7","-","-","2 out of 5 stars","-","-0.5","50% (3/6)"
"359",11,"Malik Benson",LV,"WR126","13","-","-","2 out of 5 stars","-","-","-"
"360",11,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-","-","-"
"361",11,"Jacob Saylors",DET,"RB102","6","-","-","5 out of 5 stars","-50","-","-"
"362",11,"Eli Heidenreich",PIT,"RB103","9","-","-","2 out of 5 stars","-","-","-"
"363",11,"Chris Brazzell II",CAR,"WR127","5","-","-","2 out of 5 stars","-","-","-"
"364",11,"Cedric Tillman",NO,"WR128","8","-","-","3 out of 5 stars","-","-2.0","33% (4/12)"
"365",11,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-","+1.0","43% (7/16)"
"366",11,"Roschon Johnson",CHI,"RB104","10","-","-","2 out of 5 stars","-","-0.8","16% (1/6)"
"367",11,"Kalif Raymond",CHI,"WR129","10","-","-","3 out of 5 stars","-","+0.9","50% (7/14)"
"368",11,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-137","-1.8","25% (4/16)"
