RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE ,BUST ,SOS SEASON,ECR VS. ADP,AVG. DIFF ,% OVER 
136,7,Deebo Samuel Sr.,SF,WR55,8,4 out of 5,3 out of 5,2 out of 5 stars,2,-0.7,46% (7/15)
137,7,Tyjae Spears,TEN,RB45,9,4 out of 5,4 out of 5,3 out of 5 stars,22,-0.2,25% (3/12)
138,7,Jonah Coleman,DEN,RB46,10,4 out of 5,4 out of 5,2 out of 5 stars,6,-,-
139,7,Jordyn Tyson,NO,WR56,8,3 out of 5,5 out of 5,3 out of 5 stars,-22,-,-
140,7,Zach Charbonnet,SEA,RB47,11,3 out of 5,4 out of 5,4 out of 5 stars,10,1.9,60% (9/15)
141,7,Mike Washington Jr.,LV,RB48,13,4 out of 5,4 out of 5,2 out of 5 stars,-13,-,-
142,7,Rashid Shaheed,SEA,WR57,11,3 out of 5,4 out of 5,3 out of 5 stars,1,-0.4,41% (7/17)
143,7,Keaton Mitchell,LAC,RB49,7,4 out of 5,3 out of 5,3 out of 5 stars,18,0.4,50% (6/12)
144,7,Sam Darnold,SEA,QB22,11,1 out of 5,4 out of 5,4 out of 5 stars,5,-0.3,56% (9/16)
145,7,Dylan Sampson,CLE,RB50,11,4 out of 5,3 out of 5,3 out of 5 stars,59,0.5,42% (6/14)
146,7,Tank Bigsby,PHI,RB51,10,4 out of 5,2 out of 5,4 out of 5 stars,10,0.2,31% (5/16)
147,7,Hunter Henry,NE,TE17,11,2 out of 5,4 out of 5,4 out of 5 stars,4,0.5,43% (7/16)
148,7,C.J. Stroud,HOU,QB23,8,3 out of 5,4 out of 5,4 out of 5 stars,19,-0.9,38% (5/13)
149,7,Chig Okonkwo,WAS,TE18,7,4 out of 5,3 out of 5,1 out of 5 stars,21,0.2,50% (8/16)
150,7,Brenton Strange,JAC,TE19,7,4 out of 5,3 out of 5,3 out of 5 stars,19,0.2,54% (6/11)
151,7,Daniel Jones,IND,QB24,13,4 out of 5,4 out of 5,4 out of 5 stars,28,-,-
152,7,Josh Jacobs,GB,RB52,11,2 out of 5,5 out of 5,4 out of 5 stars,-103,-1.7,40% (6/15)
153,7,Braelon Allen,NYJ,RB53,13,1 out of 5,4 out of 5,3 out of 5 stars,18,-1.2,50% (2/4)
154,7,Dalton Schultz,HOU,TE20,8,4 out of 5,2 out of 5,4 out of 5 stars,27,0.9,56% (9/16)
155,7,Cam Ward,TEN,QB25,9,4 out of 5,4 out of 5,3 out of 5 stars,22,-0.6,50% (8/16)
156,7,Denzel Boston,CLE,WR58,11,4 out of 5,4 out of 5,3 out of 5 stars,24,-,-
157,7,Tre Tucker,LV,WR59,13,4 out of 5,2 out of 5,2 out of 5 stars,46,0.2,37% (6/16)
158,7,Adonai Mitchell,NYJ,WR60,13,4 out of 5,4 out of 5,4 out of 5 stars,74,0,28% (4/14)
159,7,Brian Robinson Jr.,ATL,RB54,11,2 out of 5,4 out of 5,2 out of 5 stars,-12,-0.6,25% (4/16)
160,7,Alvin Kamara,NO,RB55,8,2 out of 5,4 out of 5,3 out of 5 stars,-8,-4.1,18% (2/11)
161,7,Tyrone Tracy Jr.,NYG,RB56,8,1 out of 5,4 out of 5,4 out of 5 stars,-6,-0.5,35% (5/14)
162,7,Emmett Johnson,KC,RB57,5,4 out of 5,4 out of 5,3 out of 5 stars,6,-,-
163,7,Ray Davis,BUF,RB58,7,-,-,2 out of 5 stars,58,-0.3,31% (5/16)
164,7,Isiah Pacheco,DET,RB59,6,3 out of 5,4 out of 5,5 out of 5 stars,-11,-1.9,30% (4/13)
165,7,Terrance Ferguson,LAR,TE21,11,4 out of 5,4 out of 5,4 out of 5 stars,13,1.4,42% (6/14)
166,7,Kayshon Boutte,HOU,WR61,8,2 out of 5,4 out of 5,3 out of 5 stars,36,0.8,46% (6/13)
167,7,Jalen McMillan,TB,WR62,10,4 out of 5,3 out of 5,4 out of 5 stars,58,5,100% (3/3)
168,8,Jerry Jeudy,CLE,WR63,11,1 out of 5,5 out of 5,3 out of 5 stars,52,-2.2,18% (3/16)
169,8,Dontayvion Wicks,PHI,WR64,10,4 out of 5,4 out of 5,4 out of 5 stars,42,-0.5,35% (5/14)
170,8,Tre' Harris,LAC,WR65,7,4 out of 5,2 out of 5,2 out of 5 stars,65,-0.4,37% (6/16)
171,8,Bryce Young,CAR,QB26,5,3 out of 5,4 out of 5,2 out of 5 stars,2,-0.4,40% (6/15)
172,8,Houston Texans,HOU,DST1,8,-,-,2 out of 5 stars,-58,2.2,62% (10/16)
173,8,AJ Barner,SEA,TE22,11,4 out of 5,3 out of 5,3 out of 5 stars,21,1.7,50% (8/16)
174,8,Jauan Jennings,MIN,WR66,6,2 out of 5,4 out of 5,5 out of 5 stars,9,1,50% (7/14)
175,8,Ryan Flournoy,DAL,WR67,14,4 out of 5,4 out of 5,2 out of 5 stars,74,3.2,66% (8/12)
176,8,T.J. Hockenson,MIN,TE23,6,3 out of 5,4 out of 5,4 out of 5 stars,-2,-1.1,40% (6/15)
177,8,Pat Bryant,DEN,WR68,10,3 out of 5,3 out of 5,2 out of 5 stars,70,0.3,35% (5/14)
178,8,Omar Cooper Jr.,NYJ,WR69,13,3 out of 5,4 out of 5,4 out of 5 stars,49,-,-
179,8,Jalen Nailor,LV,WR70,13,-,-,2 out of 5 stars,-7,-0.2,31% (5/16)
180,8,Denver Broncos,DEN,DST2,10,-,-,4 out of 5 stars,-55,0,56% (9/16)
181,8,Los Angeles Rams,LAR,DST3,11,-,-,2 out of 5 stars,-73,0.8,56% (9/16)
182,8,Kimani Vidal,LAC,RB60,7,1 out of 5,4 out of 5,3 out of 5 stars,59,0.4,45% (5/11)
183,8,Seattle Seahawks,SEA,DST4,11,-,-,2 out of 5 stars,-57,3.8,68% (11/16)
184,8,Malik Washington,MIA,WR71,6,2 out of 5,4 out of 5,3 out of 5 stars,31,-1.1,31% (5/16)
185,8,Kenyon Sadiq,NYJ,TE24,13,3 out of 5,4 out of 5,4 out of 5 stars,2,-,-
186,8,Oronde Gadsden II,LAC,TE25,7,3 out of 5,4 out of 5,4 out of 5 stars,3,0.8,42% (6/14)
187,8,Philadelphia Eagles,PHI,DST5,10,-,-,0 out of 5 stars,-50,1.1,50% (8/16)
188,8,Keenan Allen,IND,WR72,13,3 out of 5,4 out of 5,4 out of 5 stars,-25,-1.4,25% (4/16)
189,8,Calvin Ridley,TEN,WR73,9,2 out of 5,4 out of 5,3 out of 5 stars,40,-,-
190,8,Jacoby Brissett,ARI,QB27,14,3 out of 5,4 out of 5,2 out of 5 stars,46,2.5,60% (9/15)
191,8,Nicholas Singleton,TEN,RB61,9,3 out of 5,4 out of 5,3 out of 5 stars,43,-,-
192,8,Jacksonville Jaguars,JAC,DST6,7,-,-,3 out of 5 stars,-7,1.9,81% (13/16)
193,8,Minnesota Vikings,MIN,DST7,6,-,-,1 out of 5 stars,-11,1.2,37% (6/16)
194,8,New England Patriots,NE,DST8,11,-,-,3 out of 5 stars,-32,0.8,43% (7/16)
195,8,Jaylin Noel,HOU,WR74,8,4 out of 5,3 out of 5,3 out of 5 stars,127,0.6,37% (6/16)
196,8,Pittsburgh Steelers,PIT,DST9,9,-,-,5 out of 5 stars,-5,0.7,50% (8/16)
197,8,Brandon Aubrey,DAL,K1,14,4 out of 5,1 out of 5,2 out of 5 stars,-81,3.1,68% (11/16)
198,8,Ka'imi Fairbairn,HOU,K2,8,5 out of 5,1 out of 5,2 out of 5 stars,-64,4.8,92% (13/14)
199,8,Gunnar Helm,TEN,TE26,9,3 out of 5,3 out of 5,3 out of 5 stars,62,0.6,50% (8/16)
200,8,Cameron Dicker,LAC,K3,7,5 out of 5,1 out of 5,2 out of 5 stars,-64,2.5,75% (12/16)
201,8,Los Angeles Chargers,LAC,DST10,7,-,-,3 out of 5 stars,-9,-0.4,37% (6/16)
202,8,Sean Tucker,TB,RB62,10,3 out of 5,4 out of 5,2 out of 5 stars,56,1.4,43% (7/16)
203,8,Travis Hunter,JAC,WR75,7,2 out of 5,4 out of 5,4 out of 5 stars,-17,-,-
